timestamp,step,git_commit,train_mean_ep_reward,val_mean_episode_reward,val_mean_realized_pnl,val_mean_win_rate,val_mean_guardrail_violations,is_best
1788257805.512287,50000,585dbc0de26879e1711d18ce31cb0de1cb755113,-700.1374396666666,-198.68000000001092,0.0,0.0,3973.6,True
1788257817.083346,100000,585dbc0de26879e1711d18ce31cb0de1cb755113,-451.5168997083333,-198.68000000001092,0.0,0.0,3973.6,False
1788257828.615031,150000,585dbc0de26879e1711d18ce31cb0de1cb755113,-431.4444125555556,-196.62000000001044,0.0,0.0,3932.4,True
1788257840.154591,200000,585dbc0de26879e1711d18ce31cb0de1cb755113,-381.95340166666665,250.67174747028486,394151.7474702688,0.7339535288088441,2869.6,True
1788257851.653656,250000,585dbc0de26879e1711d18ce31cb0de1cb755113,-334.16796388333336,172.80166881877247,357611.6688187505,0.8358333333333334,3696.2,False
1788257863.028362,300000,585dbc0de26879e1711d18ce31cb0de1cb755113,-279.6724281111111,320.70460553818236,489774.6055381408,0.7259624881920161,3381.4,True
1788257874.5228748,350000,585dbc0de26879e1711d18ce31cb0de1cb755113,-251.19131970238092,667.6565063000821,824600.997300064,0.8617891705499912,3138.8,True
1788257886.0152729,400000,585dbc0de26879e1711d18ce31cb0de1cb755113,-191.59035320833334,998.66834522838,1150848.345228368,0.8258533979201044,3043.6,True
1788257897.557321,450000,585dbc0de26879e1711d18ce31cb0de1cb755113,-62.758798389999995,350.4783532312986,492428.353231286,0.7587341058288268,2839.0,False
1788257909.0886662,500000,585dbc0de26879e1711d18ce31cb0de1cb755113,-20.270426400000005,435.36007825900714,602440.0782589945,0.8606240151320618,3341.6,False
1788257911.7093031,500736,585dbc0de26879e1711d18ce31cb0de1cb755113,-20.270426400000005,451.3060472860696,612756.0472860581,0.8390479340981672,3229.0,False
